mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
million : l'etat de million d'euro,sye,2,1,1,,,2,,,,,1,1,,,,
million : versement par l'etat de million d'euro,sye,2,1,1,,,2,,,,,1,1,,,,
mineur : délinquance des mineur,sye,3,,3,,,1,2,,,,,1,,,2,
ministre : frais des ministre,sye,2,1,1,,,2,,,,,1,1,,,,
ministre : note de frais des ministre,sye,2,1,1,,,2,,,,,1,1,,,,
mode : réforme du mode d'élection des conseiller territorial,sye,2,1,1,,,2,,,,,1,1,,,,
mois : euro net par mois,sye,2,,2,,1,1,,,1,,,1,,,,
mois : euro par mois,sye,8,6,1,1,5,1,2,4,,1,,1,,2,,
mois : fin de mois,sye,2,1,1,,1,1,,1,,,,1,,,,
monde : fin du monde,sye,2,2,,,,2,,,,,2,,,,,
monde : misère du monde,sye,7,4,3,,1,4,2,,1,,2,2,,2,,
monde : nation du monde,sye,9,2,6,1,2,4,3,2,,,,3,1,,3,
monde : pays du monde,sye,15,9,3,3,10,5,,7,1,2,2,2,1,,,
monde : peuple du monde,sye,2,1,,1,,2,,,,,1,,1,,,
mondialisation : anonyme de la mondialisation,sye,2,,2,,,2,,,,,,2,,,,
mondialisation : vents de la mondialisation,sye,4,1,2,1,,4,,,,,1,2,1,,,
mondialisation : vents de la mondialisation sauvage,sye,2,,2,,,2,,,,,,2,,,,
monte : révolte monte,sye,2,1,1,,,2,,,,,1,1,,,,
moral : leçon de moral,sye,2,1,1,,,2,,,,,1,1,,,,
moral : permanence des leçon de moral,sye,2,1,1,,,2,,,,,1,1,,,,
morale : leçon de morale,sye,2,1,1,,1,,1,,1,,,,,1,,
morale : principe élémentaire de la morale public,sye,2,1,1,,,2,,,,,1,1,,,,
morale : sacré de la morale public,sye,2,1,1,,,2,,,,,1,1,,,,
mort : peine de mort,sye,6,5,,1,2,1,3,1,,1,1,,,3,,
mortifère : système mortifère,sye,2,,2,,1,1,,,1,,,1,,,,
mosquée : financement public des mosquée,sye,2,1,1,,2,,,1,1,,,,,,,
mot : au-delà des mot,sye,2,,2,,1,1,,,1,,,1,,,,
moyen : faute de moyen financier,sye,2,1,1,,,2,,,,,1,1,,,,
moyen : l'utilisation des moyen de transport de fonction,sye,2,1,1,,,2,,,,,1,1,,,,
moyen : transparence sur l'utilisation des moyen de transport de fonction,sye,2,1,1,,,2,,,,,1,1,,,,
mutuelle : hausse des mutuelle,sye,2,,2,,,2,,,,,,2,,,,
nation : d'une nation,sye,2,1,,1,,2,,,,,1,,1,,,
nation : jeu des nation,sye,2,1,1,,,2,,,,,1,1,,,,
nation : l'effacement de la nation,sye,3,,3,,,,3,,,,,,,,3,
nation : l'etat nation,sye,4,,4,,,4,,,,,,4,,,,
nation : l'europe des nation,sye,2,,2,,,,2,,,,,,,,2,
nation : souveraineté de la nation,sye,2,,2,,,1,1,,,,,1,,,1,
nationalité : acquisition automatique de la nationalité,sye,3,1,1,1,2,1,,,1,1,1,,,,,
nationalité : déchéance de nationalité,sye,2,2,,,1,1,,1,,,1,,,,,
nationalité : l'acquisition automatique de la nationalité,sye,2,2,,,2,,,2,,,,,,,,
nationalité : l'acquisition de la nationalité,sye,2,1,1,,1,1,,1,,,,1,,,,
nécessité : produit de premier nécessité,sye,2,1,1,,1,,1,,1,,,,,1,,
niche : suppression de la niche,sye,2,1,1,,1,1,,,1,,1,,,,,
nièce : l'embauche de la nièce du président du conseil général,sye,2,1,1,,,2,,,,,1,1,,,,
notable : élection de notable,sye,2,1,1,,,2,,,,,1,1,,,,
notation : agence de notation,sye,7,3,4,,,7,,,,,3,4,,,,
note : dossier des note de frais,sye,2,1,1,,,2,,,,,1,1,,,,
novembre : fin novembre,sye,3,,3,,,3,,,,,,3,,,,
novembre : mois de novembre,sye,2,1,1,,2,,,1,1,,,,,,,
œuvre : mise en œuvre,sye,5,1,3,1,4,,1,1,2,1,,,,,1,
œuvre(d') : main d'œuvre,sye,4,1,3,,1,3,,,1,,1,2,,,,
offre(s') : campagne de publicité qu'il s'offre,sye,2,1,1,,,2,,,,,1,1,,,,
offre(s') : publicité qu'il s'offre,sye,2,1,1,,,2,,,,,1,1,,,,
offre(s') : qu'il s'offre,sye,2,1,1,,,2,,,,,1,1,,,,
oligarque : cénacle des oligarque,sye,2,1,1,,,2,,,,,1,1,,,,
on(qu') : avenir qu'on,sye,2,2,,,,2,,,,,2,,,,,
on(qu') : c'est qu'on,sye,16,6,8,2,11,,5,3,7,1,,,,3,1,1
on(qu') : c'est-à-dire qu'on,sye,3,2,1,,2,,1,1,1,,,,,1,,
on(qu') : condition qu'on,sye,2,1,1,,,2,,,,,1,1,,,,
on(qu') : milliard d'euro qu'on,sye,2,1,1,,,,2,,,,,,,1,1,
on(qu') : pays qu'on,sye,2,1,1,,,2,,,,,1,1,,,,
on(qu') : produit qu'on,sye,2,,2,,2,,,,2,,,,,,,
on(qu') : sentiment qu'on,sye,2,,,2,2,,,,,2,,,,,,
on(qu') : service qu'on,sye,4,1,3,,,4,,,,,1,3,,,,
onu(l') : inspecteur de l'onu,sye,2,,,2,2,,,,,2,,,,,,
opinion(d') : diversité d'opinion,sye,2,1,1,,,2,,,,,1,1,,,,
opinion(d') : étude d'opinion,sye,3,,,3,1,2,,,,1,,,2,,,
opinion(l') : aspiration de l'opinion,sye,2,1,1,,,2,,,,,1,1,,,,
oppression(l') : résistance à l'oppression,sye,2,2,,,,2,,,,,2,,,,,
option : stock option,sye,2,,1,1,1,1,,,,1,,1,,,,
ordre : force de l'ordre,sye,2,,,2,2,,,,,2,,,,,,
ordre : remise en ordre de l'etat-nation,sye,2,2,,,,2,,,,,2,,,,,
ordre(l') : force de l'ordre,sye,4,2,2,,,4,,,,,2,2,,,,
organisation : d'une organisation,sye,2,2,,,,2,,,,,2,,,,,
origine(d') : pays d'origine,sye,9,6,3,,2,3,4,1,1,,1,2,,4,,
origine(l') : ami sur l'origine profond,sye,2,1,1,,,2,,,,,1,1,,,,
otan(l') : commandement intégrer de l'otan,sye,2,1,,1,,2,,,,,1,,1,,,
oublier(l') : tendance à l'oublier,sye,3,,1,2,2,,1,,,2,,,,,1,
outre-mer(d') : compatriote d'outre-mer,sye,4,2,1,1,,3,1,,,,2,,1,,1,
outre-mer(d') : territoire d'outre-mer,sye,2,1,,1,1,1,,,,1,1,,,,,
parrainage : recherche des parrainage,sye,2,,2,,2,,,,2,,,,,,,
parti : logique de parti défendre unique,sye,2,1,1,,,2,,,,,1,1,,,,
patrie : amour de la patrie,sye,2,1,,1,,2,,,,,1,,1,,,
patrie : enfant de la patrie,sye,2,1,1,,1,1,,1,,,,1,,,,
patriote : camp des patriote,sye,3,,,3,,3,,,,,,,3,,,
pauvre : million de pauvre,sye,4,,3,1,3,1,,,2,1,,1,,,,
pauvreté : seuil de pauvreté,sye,3,2,1,,,2,1,,,,1,1,,1,,
pays : d'autres pays,sye,8,2,2,4,3,3,2,,1,2,1,,2,1,1,
pays : profondeur du pays,sye,2,1,1,,,2,,,,,1,1,,,,
pays : redressement du pays,sye,3,2,1,,,3,,,,,2,1,,,,
pays : réindustrialisation du pays,sye,3,3,,,,3,,,,,3,,,,,
pays : situation du pays,sye,2,2,,,,2,,,,,2,,,,,
peau : couleur de la peau,sye,2,2,,,1,,1,1,,,,,,1,,
peine : remise automatique de peine,sye,2,,2,,,2,,,,,,2,,,,
pension : fond de pension,sye,2,1,1,,,2,,,,,1,1,,,,
perpétuité : l'endettement à perpétuité,sye,3,,3,,,1,2,,,,,1,,,2,
personne : charge des personne dépendant,sye,2,1,1,,,2,,,,,1,1,,,,
personne : million de personne,sye,2,1,1,,,2,,,,,1,1,,,,
personnel : affiche des dépense de personnel,sye,2,1,1,,,2,,,,,1,1,,,,
personnel : dépense de personnel,sye,2,1,1,,,2,,,,,1,1,,,,
petite : cas des petite commun rural,sye,2,1,1,,,2,,,,,1,1,,,,
pétrole : prix du pétrole,sye,6,3,2,1,5,,1,3,1,1,,,,,1,
peuple : colère du peuple,sye,2,1,1,,,2,,,,,1,1,,,,
peuple : colère légitime du peuple,sye,2,1,1,,,2,,,,,1,1,,,,
peuple : gouvernement du peuple,sye,2,2,,,,2,,,,,2,,,,,
peuple : l'ensemble du peuple français,sye,2,1,1,,1,,1,1,,,,,,,1,
peuple : liberté de peuple,sye,2,2,,,2,,,2,,,,,,,,
peuple : liberté des peuple,sye,3,2,1,,,2,1,,,,2,,,,1,
peuple : liberté du peuple français,sye,6,1,5,,1,3,2,1,,,,3,,,2,
peuple : majorité du peuple,sye,2,2,,,,2,,,,,2,,,,,
peuple : nom du peuple français,sye,2,1,1,,,2,,,,,1,1,,,,
peuple : prison des peuple,sye,2,1,1,,,2,,,,,1,1,,,,
peuple : protection des peuple,sye,2,1,,1,1,1,,,,1,1,,,,,
peuple : rassemblement du peuple français,sye,2,2,,,,1,1,,,,1,,,1,,
peuple : souffrance du peuple français,sye,2,,2,,1,1,,,1,,,1,,,,
peuple : souveraineté du peuple,sye,3,,1,2,,2,1,,,,,,2,,1,
peuple : voix du peuple,sye,3,2,,1,,3,,,,,2,,1,,,
peuple : volonté des peuple,sye,2,2,,,,2,,,,,2,,,,,
peuple : volonté du peuple,sye,6,2,,4,1,5,,,,1,2,,3,,,
planète : protection de la planète,sye,2,2,,,2,,,2,,,,,,,,
plantation : droit de plantation,sye,3,,3,,,2,1,,,,,2,,,1,
plantation : libéralisation des droit de plantation,sye,2,,2,,,1,1,,,,,1,,,1,
plateau : plateau de télévision en plateau de télévision,sye,2,1,1,,,2,,,,,1,1,,,,
plateau : télévision en plateau de télévision,sye,2,1,1,,,2,,,,,1,1,,,,
pluralisme : contrôle du pluralisme s'est,sye,2,1,1,,,2,,,,,1,1,,,,
pluralisme : respect du pluralisme,sye,2,1,1,,,2,,,,,1,1,,,,
pneu : douane sur l'importation des pneu chinois,sye,2,1,,1,1,,1,1,,,,,,,,1
pneu : droit de douane sur l'importation des pneu chinois,sye,2,1,,1,1,,1,1,,,,,,,,1
pneu : l'importation des pneu chinois,sye,2,1,,1,1,,1,1,,,,,,,,1
poil : sens du poil,sye,2,1,,1,1,1,,1,,,,,1,,,
pôle : mouvement en pôle de rassemblement,sye,2,1,1,,,2,,,,,1,1,,,,
police : effectif de police,sye,4,2,2,,,3,1,,,,2,1,,,1,
police : service de police,sye,3,,3,,,3,,,,,,3,,,,
politicienne : tambouille politicienne,sye,2,1,1,,,2,,,,,1,1,,,,
politico-religieux : groupe politico-religieux,sye,5,2,2,1,2,3,,1,,1,1,2,,,,
politique : normalité en politique,sye,2,,2,,,2,,,,,,2,,,,
politique : projet de politique étranger,sye,2,2,,,,2,,,,,2,,,,,
pompier : service de pompier,sye,2,1,1,,,2,,,,,1,1,,,,
potentat : caste de potentat,sye,2,1,1,,,2,,,,,1,1,,,,
pouce : coup petit * de pouce,sye,2,,2,,2,,,,2,,,,,,,
poudrière : d'une poudrière,sye,2,,,2,2,,,,,2,,,,,,
pouvoir : ami du pouvoir,sye,4,3,1,,,4,,,,,3,1,,,,
pouvoir : comédie du pouvoir,sye,4,,4,,,4,,,,,,4,,,,
pouvoir : diminution du pouvoir d'achat,sye,2,2,,,,2,,,,,2,,,,,
pouvoir : pratique du pouvoir,sye,2,,1,1,,2,,,,,,1,1,,,
pouvoir : pratique quotidien du pouvoir,sye,2,1,1,,,2,,,,,1,1,,,,
pouvoir : problème du pouvoir d'achat,sye,2,1,1,,2,,,1,1,,,,,,,
préparation : modalité de préparation,sye,2,1,1,,,2,,,,,1,1,,,,
président : l'embauche de la nièce du président du conseil général,sye,2,1,1,,,2,,,,,1,1,,,,
président : nièce du président du conseil général,sye,2,1,1,,,2,,,,,1,1,,,,
presse : conférence de presse,sye,7,4,2,1,4,3,,3,1,,1,1,1,,,
presse : conférence de presse thématique,sye,2,,2,,,2,,,,,,2,,,,
presse : d'une conférence de presse,sye,2,1,,1,1,1,,,,1,1,,,,,
presse : groupe de presse,sye,2,,1,1,,2,,,,,,1,1,,,
presse : liberté de la presse,sye,6,2,3,1,1,5,,,1,,2,2,1,,,
presse : rôle de la presse,sye,2,,,2,,2,,,,,,,2,,,
pression : groupe de pression,sye,2,,2,,,2,,,,,,2,,,,
prestation : mondialisation des prestation,sye,2,2,,,,2,,,,,2,,,,,
prière : l'interdiction des prière,sye,2,2,,,2,,,2,,,,,,,,
prison : peine de prison,sye,3,1,2,,1,2,,,1,,1,1,,,,
prison : place de prison,sye,9,4,5,,2,3,4,1,1,,2,1,,1,3,
prix : augmentation spectaculaire des prix,sye,2,1,,1,1,,1,1,,,,,,,,1
probité : culture de la probité,sye,2,1,1,,,2,,,,,1,1,,,,
production : coût de production,sye,2,1,1,,2,,,1,1,,,,,,,
produit : prix des produit,sye,2,1,1,,2,,,1,1,,,,,,,
proposition : force de proposition,sye,2,1,1,,,2,,,,,1,1,,,,
protection : disparition du système de protection social,sye,2,,2,,1,,1,,1,,,,,,1,
protection : système de protection social,sye,31,14,16,1,17,6,8,6,11,,3,2,1,5,3,
protectionnisme : débat du protectionnisme,sye,2,,2,,,2,,,,,,2,,,,
proximité : dimension de proximité,sye,2,1,1,,,2,,,,,1,1,,,,
proximité : l'échelon de proximité,sye,2,1,1,,,2,,,,,1,1,,,,
proximité : service public de proximité,sye,3,1,2,,,2,1,,,,1,1,,,1,
publication : l'objet d'une publication,sye,5,2,3,,,5,,,,,2,3,,,,
publicité : campagne de publicité qu'il s'offre,sye,2,1,1,,,2,,,,,1,1,,,,
puisqu'il : promesse puisqu'il,sye,2,,2,,1,,1,,1,,,,,,1,
puissance : 5ème puissance,sye,3,1,2,,,3,,,,,1,2,,,,
puissance : montée en puissance,sye,2,1,1,,,2,,,,,1,1,,,,
puissance : niveau de la puissance public,sye,3,1,1,1,,3,,,,,1,1,1,,,
qualité : service public de qualité,sye,2,1,1,,,2,,,,,1,1,,,,
quinquennat : début du quinquennat,sye,2,1,1,,,2,,,,,1,1,,,,
quotidien : foule de service public du quotidien,sye,2,1,1,,,2,,,,,1,1,,,,
quotidien : service public du quotidien,sye,2,1,1,,,2,,,,,1,1,,,,
rackette : l'on rackette,sye,2,1,1,,,2,,,,,1,1,,,,
rassemblement : esprit de rassemblement,sye,2,1,,1,1,1,,,,1,1,,,,,
rassemblement : mouvement en pôle de rassemblement,sye,2,1,1,,,2,,,,,1,1,,,,
rassemblement : pôle de rassemblement,sye,3,2,1,,1,2,,1,,,1,1,,,,
rassemblement : pôle de rassemblement capable,sye,2,1,1,,,2,,,,,1,1,,,,
réalité : compte de la réalité,sye,2,1,,1,,2,,,,,1,,1,,,
recours : pratique scandaleux du recours sur succession,sye,2,1,1,,,2,,,,,1,1,,,,
redressement : projet de redressement,sye,4,3,1,,1,3,,1,,,2,1,,,,
redressement : projet de redressement économique,sye,3,3,,,1,2,,1,,,2,,,,,
réduction : contrepartie d'une réduction drastique des investissement,sye,2,1,1,,,2,,,,,1,1,,,,
référendum : demande de référendum,sye,2,,2,,2,,,,2,,,,,,,
réindustrialisation : planification de réindustrialisation,sye,2,,2,,1,1,,,1,,,1,,,,
réindustrialisation : projet de réindustrialisation,sye,2,1,1,,,2,,,,,1,1,,,,
renflouement : plan de renflouement,sye,6,5,1,,3,,3,2,1,,,,,3,,
renseignement : service de renseignement,sye,4,,1,3,3,1,,,,3,,1,,,,
répétition : renflouement à répétition,sye,2,2,,,1,1,,1,,,1,,,,,
répétition : stage à répétition,sye,2,,2,,,2,,,,,,2,,,,
représentant : d'avoir des représentant,sye,3,,3,,3,,,,3,,,,,,,
représentation : dépense somptuaire en frais de représentation,sye,2,1,1,,,2,,,,,1,1,,,,
représentation : frais de représentation,sye,2,1,1,,,2,,,,,1,1,,,,
représentativité : d'une restriction de la représentativité,sye,2,1,1,,,2,,,,,1,1,,,,
représentativité : règle de représentativité,sye,2,1,1,,,2,,,,,1,1,,,,
représentativité : restriction de la représentativité,sye,2,1,1,,,2,,,,,1,1,,,,
résistance : l'instinct de résistance,sye,2,1,1,,,2,,,,,1,1,,,,
responsabilité : l'exercice des responsabilité,sye,2,1,1,,,2,,,,,1,1,,,,
responsabilité : l'immense responsabilité,sye,3,,3,,,3,,,,,,3,,,,
responsabilité : mouvement à l'exercice des responsabilité,sye,2,1,1,,,2,,,,,1,1,,,,
responsabilité : sens des responsabilité,sye,2,2,,,,2,,,,,2,,,,,
restriction : d'une restriction de la représentativité,sye,2,1,1,,,2,,,,,1,1,,,,
rétorsion : mesure de rétorsion,sye,3,1,2,,2,,1,1,1,,,,,,1,
retour : hypothèse de retour,sye,2,,2,,2,,,,2,,,,,,,
retraite : baisse des retraite,sye,2,,2,,1,,1,,1,,,,,,1,
retraite : loin de la retraite,sye,2,,2,,2,,,,2,,,,,,,
retraite : maison de retraite,sye,5,3,2,,,5,,,,,3,2,,,,
retraite : problème de la retraite,sye,2,,2,,2,,,,2,,,,,,,
retraites-chapeaux : interdiction des retraites-chapeaux,sye,2,,,2,2,,,,,2,,,,,,
révélation : rythme des révélation,sye,2,1,1,,,2,,,,,1,1,,,,
revue : passage en revue,sye,2,1,1,,,2,,,,,1,1,,,,
rigueur : plan de rigueur,sye,4,1,3,,3,1,,,3,,1,,,,,
rom : camp de rom,sye,3,2,1,,,3,,,,,2,1,,,,
route : feuille de route,sye,5,1,2,2,3,2,,,2,1,1,,1,,,
rue : coin de rue,sye,2,,2,,1,1,,,1,,,1,,,,
rue : prière de rue,sye,6,2,3,1,2,3,1,1,1,,1,2,,,,1
saccage : politique de saccage social,sye,2,1,1,,,2,,,,,1,1,,,,
salaire : baisse des salaire,sye,6,3,3,,2,2,2,2,,,,2,,1,1,
salaire : revalorisation des salaire,sye,2,2,,,,2,,,,,2,,,,,
santé : bassin de santé,sye,2,,2,,1,1,,,1,,,1,,,,
santé : maison de santé,sye,2,,2,,,1,1,,,,,1,,,1,
sapeur-pompier : côté des sapeur-pompier volontaire,sye,2,1,1,,,2,,,,,1,1,,,,
sarkozyste : pouvoir sarkozyste,sye,6,4,2,,,5,1,,,,3,2,,1,,
saturation : seuil de saturation,sye,2,1,,1,1,,1,,,1,,,,1,,
savoir : transmission des savoir fondamental,sye,3,1,,2,2,1,,,,2,1,,,,,
savoir : transmission du savoir,sye,2,,1,1,1,,1,,,1,,,,,1,
scandale : succession effarant de scandale,sye,2,1,1,,,2,,,,,1,1,,,,
scrutin : mode de scrutin,sye,9,2,4,3,6,2,1,1,3,2,1,,1,,1,
secteur : série de secteur économique,sye,2,1,1,,2,,,1,1,,,,,,,
sécurité : norme de sécurité,sye,3,2,,1,2,1,,1,,1,1,,,,,
séjour : carte de séjour,sye,3,2,1,,,3,,,,,2,1,,,,
séjour : titre de séjour,sye,10,7,3,,2,7,1,2,,,4,3,,1,,
semi-ouverts : centre semi-ouverts,sye,2,1,1,,1,,1,1,,,,,,,1,
sens : l'autre sens,sye,2,2,,,2,,,2,,,,,,,,
service : coût du service,sye,2,1,1,,,2,,,,,1,1,,,,
service : disparition des service public,sye,2,1,1,,1,,1,1,,,,,,,1,
service : financement des service d'aide à domicile,sye,2,1,1,,,2,,,,,1,1,,,,
service : foule de service public du quotidien,sye,2,1,1,,,2,,,,,1,1,,,,
service : l'augmentation du coût du service,sye,2,1,1,,,2,,,,,1,1,,,,
service : mode de financement des service d'aide à domicile,sye,2,1,1,,,2,,,,,1,1,,,,
service : prestation de service,sye,7,,7,,,5,2,,,,,5,,,2,
service : reconquête des service public,sye,2,,2,,,2,,,,,,2,,,,
service : saccage des service public,sye,2,1,1,,,2,,,,,1,1,,,,
shoot : salle de shoot,sye,3,,2,1,2,1,,,2,,,,1,,,
sidération : état de sidération,sye,2,,2,,2,,,,2,,,,,,,
siècle : fil des siècle,sye,3,1,2,,,3,,,,,1,2,,,,
situation : étranger en situation légal,sye,3,1,2,,2,,1,1,1,,,,,,1,
société : couche de la société,sye,2,1,1,,,2,,,,,1,1,,,,
société : d'une société,sye,4,3,1,,,4,,,,,3,1,,,,
société : modèle de société,sye,4,,4,,,4,,,,,,4,,,,
sol : droit du sol,sye,14,5,3,6,10,2,2,3,1,6,1,1,,1,1,
solidarité : l'allocation de solidarité,sye,2,1,1,,,2,,,,,1,1,,,,
solution : d'autre solution,sye,4,1,3,,1,2,1,1,,,,2,,,1,
solution : d'autres solution,sye,2,,2,,,2,,,,,,2,,,,
solution : j'apporte des solution,sye,2,,,2,2,,,,,2,,,,,,
sortie : bénéfice de la sortie de l'euro,sye,2,,2,,,,2,,,,,,,,2,
sortie : coût de la sortie de l'euro,sye,3,,3,,,,3,,,,,,,,3,
souveraineté : d'une souveraineté,sye,2,,,2,,2,,,,,,,2,,,
souveraineté : partage de souveraineté,sye,2,2,,,2,,,2,,,,,,,,
souveraineté : perte de souveraineté,sye,3,2,,1,2,1,,1,,1,1,,,,,
spoliation : politique de spoliation,sye,2,1,1,,,2,,,,,1,1,,,,
stabilisation : contrat de stabilisation,sye,8,4,4,,,8,,,,,4,4,,,,
stabilité : mécanisme européen de stabilité,sye,2,,2,,2,,,,2,,,,,,,
stratège : l'etat stratège,sye,4,3,1,,1,3,,1,,,2,1,,,,
substitution : d'énergie de substitution,sye,2,2,,,2,,,2,,,,,,,,
succession : pratique scandaleux du recours sur succession,sye,2,1,1,,,2,,,,,1,1,,,,
succession : recours sur succession,sye,2,1,1,,,2,,,,,1,1,,,,
sujet : fois qu'il s'empare du sujet,sye,2,1,1,,,2,,,,,1,1,,,,
sujet : qu'il s'empare du sujet,sye,2,1,1,,,2,,,,,1,1,,,,
sujet : s'empare du sujet,sye,2,1,1,,,2,,,,,1,1,,,,
symbole : qu'à des symbole,sye,2,,2,,2,,,,2,,,,,,,
syndicat : création de syndicat,sye,2,1,1,,1,1,,,1,,1,,,,,
système : bout du système,sye,2,2,,,2,,,2,,,,,,,,
système : candidat du système,sye,3,,3,,,3,,,,,,3,,,,
système : candidat hors système,sye,2,,2,,,2,,,,,,2,,,,
système : disparition du système de protection social,sye,2,,2,,1,,1,,1,,,,,,1,
système : nanti du système,sye,2,1,1,,,2,,,,,1,1,,,,
système : parti du système,sye,5,1,3,1,1,4,,,1,,1,2,1,,,
tank : think tank,sye,2,2,,,1,1,,1,,,1,,,,,
télévision : caméra de télévision,sye,6,2,4,,2,4,,1,1,,1,3,,,,
télévision : plateau de télévision,sye,6,2,3,1,3,3,,,2,1,2,1,,,,
télévision : plateau de télévision en plateau de télévision,sye,4,2,2,,,4,,,,,2,2,,,,
télévision : télévision en plateau de télévision,sye,2,1,1,,,2,,,,,1,1,,,,
témoin : statut de témoin assister,sye,2,,2,,2,,,,2,,,,,,,
temps : reste du temps,sye,2,1,1,,,2,,,,,1,1,,,,
temps : temps en temps,sye,5,3,2,,4,1,,3,1,,,1,,,,
tennis : activité tennis,sye,2,1,1,,,2,,,,,1,1,,,,
terme : sens noble du terme,sye,2,,2,,,2,,,,,,2,,,,
territoire : l'ensemble du territoire national,sye,2,,2,,,2,,,,,,2,,,,
titre : réserve légal de titre,sye,2,,2,,2,,,,2,,,,,,,
transparence : culture de la transparence,sye,2,1,1,,,2,,,,,1,1,,,,
transport : l'utilisation des moyen de transport de fonction,sye,2,1,1,,,2,,,,,1,1,,,,
transport : moyen de transport,sye,2,,2,,,2,,,,,,2,,,,
transport : moyen de transport de fonction,sye,2,1,1,,,2,,,,,1,1,,,,
transport : transparence sur l'utilisation des moyen de transport de fonction,sye,2,1,1,,,2,,,,,1,1,,,,
travail : condition de travail,sye,3,1,2,,,2,1,,,,1,1,,,1,
travail : coût du travail,sye,2,1,1,,,2,,,,,1,1,,,,
travail : dérégulation du marché du travail,sye,2,,1,1,1,1,,,,1,,1,,,,
travail : immigration de travail,sye,2,1,1,,1,1,,,1,,1,,,,,
travail : marché du travail,sye,12,5,6,1,1,10,1,,,1,5,5,,,1,
travail : valeur travail,sye,3,2,1,,1,2,,,1,,2,,,,,
tribunal : fermeture de tribunal,sye,2,1,1,,1,1,,,1,,1,,,,,
tutelle : mise sous tutelle,sye,2,,2,,,2,,,,,,2,,,,
ump(l') : adhérent de l'ump,sye,2,,2,,1,,1,,1,,,,,,1,
ump(l') : candidat de l'ump,sye,3,,3,,,2,1,,,,,2,,,1,
ump(l') : d'ailleur l'ump,sye,2,,,2,1,,1,,,1,,,,,,1
ump(l') : dirigeant de l'ump,sye,3,,2,1,1,,2,,1,,,,,,1,1
ump(l') : donateur de l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : électeur de l'ump,sye,3,,2,1,2,,1,,2,,,,,,,1
ump(l') : gens de l'ump,sye,2,1,1,,1,,1,1,,,,,,,1,
ump(l') : l'accord passer par l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : ligne de l'accord passer par l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : militant de l'ump,sye,2,,2,,,,2,,,,,,,,2,
ump(l') : mutisme de l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : petit télégraphiste de l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : potentat local de l'ump,sye,2,1,1,,,2,,,,,1,1,,,,
ump(l') : président de l'ump,sye,2,,2,,,,2,,,,,,,,2,
une(d') : condition d'une,sye,3,1,2,,2,,1,1,1,,,,,,1,
une(d') : conscience d'une histoire,sye,2,1,,1,,2,,,,,1,,1,,,
une(d') : contrepartie d'une réduction drastique des investissement,sye,2,1,1,,,2,,,,,1,1,,,,
une(d') : l'approbation d'une gauche,sye,2,1,1,,,2,,,,,1,1,,,,
une(d') : l'objet d'une enquête,sye,3,2,1,,,3,,,,,2,1,,,,
une(d') : l'objet d'une publication,sye,5,2,3,,,5,,,,,2,3,,,,
une(d') : principe d'une abstention,sye,2,1,1,,,2,,,,,1,1,,,,
une(d') : temps d'une campagne,sye,2,1,,1,,2,,,,,1,,1,,,
union(d') : gouvernement d'union,sye,4,1,,3,1,,3,1,,,,,,,,3
union(l') : souveraineté à l'union,sye,2,,2,,1,,1,,1,,,,,,1,
utilité : d'une grand utilité,sye,2,2,,,,2,,,,,2,,,,,
valeur : création de valeur,sye,2,,2,,1,1,,,1,,,1,,,,
valeur : inversion des valeur,sye,2,1,1,,,2,,,,,1,1,,,,
vérité : discours de vérité,sye,3,,2,1,,3,,,,,,2,1,,,
vérité : œuvre de vérité,sye,2,,2,,,2,,,,,,2,,,,
vie : bipolarisation de la vie politique,sye,2,,1,1,1,1,,,1,,,,1,,,
vie : mode de vie,sye,9,3,4,2,2,7,,,,2,3,4,,,,
vie : moralisation de la vie public,sye,4,,1,3,4,,,,1,3,,,,,,
vie : niveau de vie,sye,3,1,2,,1,2,,1,,,,2,,,,
vie : qualité de vie,sye,3,2,1,,,3,,,,,2,1,,,,
vie : secteur de la vie public,sye,2,1,1,,,2,,,,,1,1,,,,
vigueur : plan de vigueur,sye,4,1,3,,3,1,,,3,,1,,,,,
village : allant de village en village,sye,2,2,,,,2,,,,,2,,,,,
ville : centre ville,sye,2,2,,,,2,,,,,2,,,,,
ville : d'une ville,sye,2,,1,1,1,1,,,,1,,1,,,,
ville : finance de la ville,sye,2,,,2,1,,1,,,1,,,,,,1
ville : logement de la ville,sye,2,,2,,,1,1,,,,,1,,,1,
ville : politique de la ville,sye,4,1,3,,1,2,1,1,,,,2,,,1,
vocation : rassemblement à vocation majoritaire,sye,2,1,1,,1,,1,1,,,,,,,1,
voisin : pays voisin,sye,2,1,1,,2,,,1,1,,,,,,,
volonté : qu'une volonté,sye,2,,2,,,2,,,,,,2,,,,
vote : bulletin de vote,sye,2,,2,,,2,,,,,,2,,,,
