first,second,third,likelihood_ratio
quatrième,puissance,économique,156.91258107413367
sécurité,première,libertés,125.10301959124168
sécurité,français,rassemblement,80.0890159090237
instruire,éduquer,accroître,380.2675641095533
députés,front,national,12813.200753242341
celle,front,national,12800.979760266055
celle,etats,unis,1560.7863413343498
celle,peuple,français,944.6447730448353
verra,bien,verra,292.08551595668484
verra,bien,moment,259.7552551032154
entrer,droits,produits,106.97584239107964
jean,marie,chevallier,1560.2279181678007
jean,marie,candidat,1539.0993956011653
jean,marie,avait,1530.9119978959443
jean,claude,martinez,306.7892713847707
jean,pierre,stirbois,289.2323181025839
jean,michel,dubois,205.88442498177355
produits,subissent,mêmes,113.09601030266106
faits,divers,journaux,188.5963797811437
henri,meurt,henri,210.24268214299082
henri,angleterre,proclamé,167.4516686986629
présidentielle,élection,législative,242.27552839313978
pitié,royaume,france,166.8021945006598
fonctions,régaliennes,etat,211.55062012873572
idées,front,national,12804.733724349539
considéré,fardeau,obligation,168.99387318998026
travailler,veulent,travailler,291.85623101843237
travailler,plus,gagner,129.77962482843836
coûts,prix,peuvent,117.8509801793409
morale,politique,france,63.37383220751084
campagne,front,national,12801.880325410686
campagne,électorale,présidentielle,1128.7450412958547
campagne,électorale,européenne,1078.1648313964113
campagne,électorale,législative,1053.647858371
campagne,élections,européennes,589.7909110592732
excusez,aller,secours,135.3456130817827
identité,sécurité,français,103.96779873934756
législatives,juin,prochains,130.60264536734823
professionnelle,vers,2013,118.11975103687129
euro,franc,serait,112.92612607423877
leurs,familles,leurs,441.4562143795738
leurs,enfants,école,427.2150793050156
leurs,justes,contrôles,122.09079156893065
accomplir,plus,prodigieux,187.45621953077523
cachot,sordide,jugée,237.49248807717828
monde,sait,bien,328.729788948331
monde,besoin,france,147.495358370544
infâme,traité,troyes,202.92301309599793
infâme,évêque,pierre,191.6218374763098
trahisons,lâchetés,plus,124.67724579652841
génération,actuelle,agriculteurs,145.78988040470853
gens,front,national,12820.881324897047
gens,condamnés,prison,167.98344476520637
gens,parlent,aujourd,105.83745399360902
gens,plus,jeunes,72.24577892318533
zone,libre,échange,202.07215569248194
élus,front,national,12867.767027029731
autorité,indépendance,france,113.61601558839364
ennemi,avenir,furent,126.79725956547995
plus,front,national,12809.375488595235
plus,milliards,euros,989.6327414328946
plus,tard,portes,600.7236442636447
plus,plus,nombreux,579.4064161487895
plus,tard,nôtres,573.7574246678478
plus,tard,jeanne,570.4979042865776
plus,tard,souvenir,569.2993621369345
plus,nombreux,plus,548.5385374206332
plus,grande,partie,436.6422014340424
plus,lucides,plus,429.046517564111
plus,humbles,plus,414.31218472451025
plus,jeune,plus,413.68969256918103
plus,plus,stérilisante,401.9377800469946
plus,plus,lourde,390.87628573716637
plus,lourde,plus,385.9015072809059
plus,gagner,plus,374.3626743000919
plus,europe,plus,359.4285752166248
plus,millions,étrangers,283.2117859536053
plus,nombreux,recherche,244.8775244139262
plus,grand,nombre,224.89793771528346
plus,basses,insultes,223.53850193128
plus,important,celui,215.82704566055224
plus,ignobles,calomnies,197.70181379291066
plus,grand,meeting,153.79692119758369
plus,prodigieux,destin,148.64969140429776
plus,profond,coeur,128.78507371553684
plus,anglais,débarqué,121.63737873419063
plus,stérilisante,temps,90.1534976679992
plus,rien,dire,78.39873429060913
sordide,jugée,tribunal,179.422907581889
toute,classe,politico,201.67088840098342
toute,chose,égale,158.58631321792325
toute,modification,traités,117.16836337672251
vote,front,national,12803.770516024331
ultra,libéralisme,mondialisé,235.02176577501666
électeurs,front,national,12894.116615015626
portes,paris,blessée,193.46793416161603
frein,immigrés,plus,99.13501994781774
présenter,candidature,arabe,305.14867462402947
euros,mois,millions,180.11884305246159
général,otan,dire,118.25001642867863
